City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Khuzhir,RU,51.55,broken clouds,53.19,107.34,Отель на озере Байкал Baikal View
4,Lebu,CL,54.23,clear sky,-37.62,-73.65,Hostal Las Lilas
6,Rikitea,PF,72.88,light rain,-23.12,-134.97,People ThankYou
18,Hilo,US,73.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,Veinticinco De Mayo,AR,68.13,clear sky,-35.43,-60.17,Estancia La Rosada
22,Port Alfred,ZA,59.52,light rain,-33.59,26.89,The Halyards Hotel
23,Chaumont,FR,70.38,scattered clouds,48.12,5.13,Hôtel Restaurant Des Remparts
26,Chuy,UY,65.03,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
29,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
30,Ancud,CL,52.43,light rain,-41.87,-73.82,Hotel Arena Gruesa
31,Broome,US,69.82,scattered clouds,42.25,-75.83,Chenango Valley State Park
32,Sainte-Anne-Des-Monts,CA,57.07,few clouds,49.12,-66.49,Motel et restaurant Manoir sur Mer Enr.
34,Guerrero Negro,MX,73.63,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
36,Puerto Ayora,EC,71.56,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
37,Swan River,CA,53.49,clear sky,52.11,-101.27,Super 8 by Wyndham Swan River MB
41,Tateyama,JP,69.82,broken clouds,34.98,139.87,Tateyama Seaside Hotel
42,Hermanus,ZA,61.9,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
44,Husavik,IS,57.11,overcast clouds,66.04,-17.34,Bjarnabúð
46,Sitka,US,51.69,light rain,57.05,-135.33,Westmark Sitka
48,Grafton,US,70.63,broken clouds,42.21,-71.69,The Grafton Inn
51,Lompoc,US,57.51,mist,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
52,Jamestown,US,72.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
56,Marivan,IR,69.96,clear sky,35.52,46.18,Teacher's House
59,Hualmay,PE,65.66,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
60,Neath,GB,69.08,broken clouds,51.66,-3.8,The Castle Hotel
63,Saldanha,ZA,62.65,clear sky,-33.01,17.94,Blue Bay Lodge
65,Namie,JP,64.71,overcast clouds,37.48,141.0,いこいの村なみえ
69,Dossor,KZ,67.86,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
70,East London,ZA,59.94,light rain,-33.02,27.91,Tu Casa
73,Airai,TL,59.43,broken clouds,-8.93,125.41,Juvinal Martin
75,Katsuura,JP,69.91,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
78,Cape Town,ZA,62.11,few clouds,-33.93,18.42,Southern Sun Cape Sun
79,Saint-Philippe,RE,74.75,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
80,Dingle,PH,74.66,overcast clouds,11.0,122.67,SEGAYA PROPERTY
81,Port Elizabeth,ZA,57.49,scattered clouds,-33.92,25.57,39 On Nile Guest House
83,Port Hedland,AU,69.85,broken clouds,-20.32,118.57,The Esplanade Hotel
84,Moche,PE,59.18,mist,-8.17,-79.01,Wyndham Costa del Sol Trujillo
85,Schrobenhausen,DE,66.29,broken clouds,48.55,11.27,Altstadthotel Schrobenhausen
92,Kyzyl-Suu,KG,57.15,broken clouds,42.34,78.01,Hostel “Suusar”
93,Grindavik,IS,51.75,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
96,Puyang,CN,70.88,light rain,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
98,Kodiak,US,51.31,moderate rain,57.79,-152.41,Best Western Kodiak Inn And Convention Center
99,Isangel,VU,71.08,scattered clouds,-19.55,169.27,Tanna Lodge
100,Aviles,ES,69.19,scattered clouds,43.55,-5.92,"Palacio de Avilés, Affiliated by Meliá"
102,Shubarkuduk,KZ,58.42,clear sky,49.14,56.49,Sirius
103,Mount Isa,AU,62.37,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
104,Port Lincoln,AU,59.34,few clouds,-34.73,135.87,Port Lincoln Hotel
105,Victor Harbor,AU,73.72,light rain,-35.57,138.62,Apollon Motor Inn
106,Nabire,ID,74.89,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
108,Gold Coast,AU,59.07,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
109,Selestat,FR,71.71,broken clouds,48.26,7.46,Hotel Restaurant Au Parc Des Cigognes
110,Grand Gaube,MU,72.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
112,Antofagasta,CL,58.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
119,Cerrito,CO,58.39,scattered clouds,6.84,-72.69,Yariseth juliana
122,Pacasmayo,PE,67.66,broken clouds,-7.4,-79.57,Hotel Libertad
127,Chichihualco,MX,73.27,overcast clouds,17.68,-99.65,Hotel Casa Blanca
131,Torbay,CA,65.17,light intensity shower rain,47.67,-52.73,Gallows Cove
132,Castro,BR,58.86,overcast clouds,-24.79,-50.01,CHACARA BAILLY
136,Vanimo,PG,74.93,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
138,Mar Del Plata,AR,69.82,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
139,Gorontalo,ID,73.11,light rain,0.54,123.06,Maqna Hotel by Prasanthi
143,Leyland,GB,71.49,scattered clouds,53.7,-2.69,Preston Leyland Hotel | Signature Collection by Best Western
147,Khani,GE,62.17,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
148,Cidreira,BR,61.88,few clouds,-30.18,-50.21,Hotel Castelo
