City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khuzhir,RU,53.19,107.34,51.55,74,55,3.27,broken clouds
1,Ushuaia,AR,-54.8,-68.3,38.86,41,75,4.61,broken clouds
2,Shingu,JP,33.73,135.98,77.92,89,100,6.53,overcast clouds
3,Biscarrosse,FR,44.39,-1.17,76.32,60,0,13.8,clear sky
4,Lebu,CL,-37.62,-73.65,54.23,67,1,9.51,clear sky
5,Payo,ID,-3.75,103.64,75.33,87,22,2.53,few clouds
6,Rikitea,PF,-23.12,-134.97,72.88,77,6,12.75,light rain
7,Punta Arenas,CL,-53.15,-70.92,35.62,93,90,14.97,sleet
8,Tasiilaq,GL,65.61,-37.64,39.36,68,29,4.5,scattered clouds
9,Qazvin,IR,36.28,50.0,82.02,15,0,11.5,clear sky
10,Nogales,MX,31.31,-110.94,84.96,40,1,0.0,clear sky
11,Deputatskiy,RU,69.3,139.9,36.0,84,63,1.77,broken clouds
12,Hobart,AU,-42.88,147.33,45.27,88,40,0.0,scattered clouds
13,Emba,KZ,48.83,58.14,61.72,27,16,8.14,few clouds
14,Albany,US,42.6,-73.97,71.28,73,45,4.32,scattered clouds
15,Chokurdakh,RU,70.63,147.92,34.9,90,86,7.81,overcast clouds
16,Cherskiy,RU,68.75,161.3,26.19,85,50,9.31,scattered clouds
17,Mataura,NZ,-46.19,168.86,35.47,98,10,2.75,clear sky
18,Hilo,US,19.73,-155.09,73.4,90,75,5.75,broken clouds
19,Tuktoyaktuk,CA,69.45,-133.04,39.2,100,75,4.61,mist
20,Veinticinco De Mayo,AR,-35.43,-60.17,68.13,45,0,8.48,clear sky
21,Upernavik,GL,72.79,-56.15,27.86,63,67,5.37,broken clouds
22,Port Alfred,ZA,-33.59,26.89,59.52,70,68,19.69,light rain
23,Chaumont,FR,48.12,5.13,70.38,67,39,7.27,scattered clouds
24,Tabas,IR,33.6,56.92,89.78,8,0,5.91,clear sky
25,Nikolskoye,RU,59.7,30.79,48.02,71,91,4.43,overcast clouds
26,Chuy,UY,-33.7,-53.46,65.03,53,0,1.36,clear sky
27,Atuona,PF,-9.8,-139.03,77.22,72,5,18.28,clear sky
28,Aden,YE,12.78,45.04,86.72,73,43,7.92,scattered clouds
29,Vaini,TO,-21.2,-175.2,73.56,100,20,4.61,few clouds
30,Ancud,CL,-41.87,-73.82,52.43,95,100,15.9,light rain
31,Broome,US,42.25,-75.83,69.82,66,40,1.99,scattered clouds
32,Sainte-Anne-Des-Monts,CA,49.12,-66.49,57.07,72,14,23.02,few clouds
33,Severnyy-Kospashskiy,RU,59.09,57.8,35.31,98,100,7.9,light rain
34,Guerrero Negro,MX,27.98,-114.06,73.63,70,0,16.87,clear sky
35,Georgetown,MY,5.41,100.34,84.13,86,20,1.01,few clouds
36,Puerto Ayora,EC,-0.74,-90.35,71.56,92,97,8.01,overcast clouds
37,Swan River,CA,52.11,-101.27,53.49,50,1,14.97,clear sky
